Dataset URL,Organisation,General classification of dataset type,Topic or theme,Point of Contact
https://www.data.qld.gov.au/dataset/soe2015-land-use-land-use-change-and-forestry-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-lead-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-local-heritage-places-and-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-main-material-types-littered,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-major-air-pollutants,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-major-threats-to-fauna-species,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-major-threats-to-flora-species,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-marine-parks-and-fish-habitat-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-minimum-mean-and-maximum-temperatures,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-nitrogen-dioxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-number-of-litter-items-for-different-site-types,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-number-of-litter-items-in-queensland,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-number-of-registered-vehicles,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-ozone-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-particulate-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-per-capita-waste-generation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-pressures-affecting-queenslands-aquatic-ecosystems,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-pressures-affecting-riverine-ecosystems,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-queensland-heritage-places,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-queensland-heritage-places-destroyed,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-queensland-open-house-events,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-riversleigh-section-of-the-australian-fossil-mammal-sites-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-sea-level,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-sea-surface-temperature,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-southern-oscillation-index,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-stationary-energy-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-storm-tide-inundation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-sulphur-dioxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-threatened-fauna-species-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-threatened-fauna-species-numbers,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-threatened-flora-species-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-threatened-flora-species-numbers,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2015-total-annual-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
